anio,mes,total,bebidas,almacen,panaderia,lacteos,carnes,verduleria,rotiseria,limpieza,textiles,electronicos,otros
anio,mes,Total,Bebidas,Almacén,Panadería,Lácteos,Carnes,Verdulería y frutería,Alimentos preparados y rotisería,Artículos de limpieza y perfumería,Indumentaria, calzado y textiles para el hogar,Electrónicos y artículos para el hogar,Otros
2016,Diciembre,1.571.646,196.371,398.657,61.315,128.210,117.664,54.404,23.157,200.754,62.195,100.004,228.915
2017,Enero,1.278.653,115.892,322.732,51.515,122.591,113.632,56.100,19.795,202.440,44.878,83.838,145.241
,Febrero,1.166.317,110.993,311.207,51.062,119.882,112.678,53.620,20.240,179.577,37.433,54.121,115.504
,Marzo,1.255.591,110.710,363.255,56.147,133.762,121.511,56.994,22.084,192.948,36.882,55.291,106.006
,Abril,1.295.183,108.968,384.712,61.940,130.827,126.991,54.886,20.835,187.470,48.214,66.663,103.678
,Mayo,1.265.881,99.280,369.169,56.133,130.329,120.053,52.023,19.553,185.731,51.651,76.698,105.262
,Junio,1.235.723,103.227,354.012,55.198,125.581,120.077,48.168,18.952,177.892,51.886,75.275,105.455
,Julio,1.299.647,106.608,377.303,57.099,127.800,122.986,49.639,18.975,186.224,54.045,79.334,119.634
,Agosto,1.323.736,101.989,375.478,56.430,131.180,124.176,51.550,18.969,186.088,44.981,74.598,158.299
,Septiembre,1.263.453,109.071,375.802,55.105,130.791,123.513,50.700,18.470,187.067,40.981,64.382,107.571
,Octubre,1.310.593,118.878,375.370,54.556,129.434,122.721,51.746,18.542,189.830,46.907,88.588,114.023
,Noviembre,1.349.018,127.918,363.414,53.178,126.646,122.726,52.247,18.667,194.249,46.348,95.099,148.527
,Diciembre,1.715.734,204.630,456.917,64.761,128.903,145.321,60.116,23.083,212.371,69.473,106.194,243.964
2018,Enero,1.314.603,122.412,352.616,51.416,119.923,121.472,55.645,18.662,196.475,48.593,76.848,150.542
,Febrero,1.257.202,123.320,332.588,50.666,119.068,121.274,53.747,18.484,183.278,47.867,68.086,138.824
,Marzo,1.425.645,133.941,412.959,65.344,139.542,136.912,58.124,20.726,206.970,48.589,76.810,125.728
,Abril,1.310.612,119.068,377.683,53.816,128.199,130.526,55.820,18.729,194.363,46.362,76.411,109.632
,Mayo,1.317.745,104.906,358.218,54.553,130.080,133.282,53.348,18.371,187.828,60.408,111.302,105.449
,Junio,1.382.182,114.648,379.277,55.945,131.800,141.345,53.650,18.694,188.933,73.860,114.239,109.792
,Julio,1.338.155,109.142,374.221,56.351,131.947,139.178,53.891,18.933,185.975,71.752,72.969,123.799
,Agosto,1.310.099,105.755,367.955,54.967,131.293,139.884,54.193,18.741,180.392,50.856,60.332,145.731
,Septiembre,1.156.095,108.542,326.553,49.800,122.758,132.556,50.683,17.691,176.742,36.608,47.706,86.456
,Octubre,1.188.549,113.001,333.261,50.064,121.484,136.168,52.252,17.998,177.530,42.374,54.907,89.509
,Noviembre,1.176.322,121.175,317.614,48.425,115.852,134.599,51.784,16.867,176.529,40.823,53.462,99.192
,Diciembre,1.538.961,199.756,402.054,60.178,119.477,157.164,58.343,20.544,195.242,68.723,67.897,189.582
2019,Enero,1.159.770,110.862,299.062,46.865,108.469,130.060,53.739,17.135,176.809,53.752,50.893,112.123
,Febrero,1.103.352,112.226,292.056,45.346,104.666,132.631,51.092,16.111,158.345,40.343,45.869,104.667
,Marzo,1.232.317,113.338,340.033,53.370,118.898,159.276,54.608,17.712,173.911,46.666,46.017,108.488
,Abril,1.129.176,98.433,335.943,54.117,108.436,139.328,52.108,16.828,163.166,42.100,37.341,81.376
,Mayo,1.137.327,113.726,314.681,50.676,111.092,138.106,50.027,16.508,159.177,52.549,47.706,83.078
,Junio,1.260.301,126.443,344.801,54.602,118.802,147.043,52.296,17.517,173.053,66.416,62.842,96.487
,Julio,1.163.787,114.554,322.699,53.151,108.936,139.824,50.035,16.480,153.965,59.404,53.690,91.049
,Agosto,1.196.497,120.874,343.150,52.120,115.851,150.247,51.259,17.133,149.366,39.700,50.995,105.801
,Septiembre,1.071.312,118.687,290.885,47.422,110.972,141.277,48.121,16.108,149.722,35.594,39.669,72.855
,Octubre,1.184.712,132.701,320.548,50.129,117.739,140.874,51.989,17.569,164.827,38.775,67.438,82.123
,Noviembre,1.165.962,154.764,299.992,47.999,110.893,138.427,49.346,17.761,162.416,38.450,59.244,86.670
,Diciembre,1.418.070,230.890,347.313,60.081,114.248,163.654,56.446,21.245,171.005,53.004,61.820,138.364
2020,Enero,1.105.309,132.610,269.383,46.196,100.285,136.105,51.799,17.281,162.495,42.914,49.626,96.616
,Febrero,1.117.574,140.770,284.168,47.544,109.029,144.873,52.169,17.602,153.131,41.076,38.943,88.269
,Marzo,1.232.250,120.373,374.921,45.114,134.912,153.758,55.368,11.805,202.000,21.503,40.111,72.386
,Abril,1.015.454,97.741,321.135,39.965,116.110,133.078,42.336,6.888,144.883,17.223,42.351,53.744
,Mayo,1.096.585,107.580,320.676,38.900,115.718,140.024,39.269,7.729,152.233,44.093,62.447,67.917
,Junio,1.112.367,121.741,305.660,38.470,111.414,142.156,38.010,7.946,149.486,59.141,61.109,77.233
,Julio,1.156.153,123.380,313.062,42.452,117.575,147.690,40.284,8.816,161.262,59.016,57.367,85.249
,Agosto,1.100.578,122.664,298.710,42.248,118.049,141.807,39.948,9.107,159.368,28.981,46.989,92.707
,Septiembre,1.031.167,116.640,283.380,40.132,117.585,131.106,38.350,8.529,151.480,26.428,43.906,73.631
,Octubre,1.131.654,139.388,285.897,42.827,122.275,138.180,40.935,9.824,167.117,32.451,73.450,79.310
,Noviembre,1.131.478,162.725,296.018,38.853,114.143,131.916,39.261,9.275,162.798,31.524,61.383,83.583
,Diciembre,1.421.708,267.763,341.373,53.181,121.916,178.403,46.554,12.285,180.313,46.930,57.099,115.890
2021,Enero,1.126.956,165.388,276.104,40.426,114.913,143.483,43.112,10.270,172.846,35.399,42.582,82.433
,Febrero,1.038.383,151.076,261.553,37.975,109.572,132.885,41.197,9.480,160.582,27.831,35.629,70.602
,Marzo,1.164.806,147.224,313.181,41.158,126.015,145.330,44.833,10.812,177.762,30.783,51.092,76.616
,Abril,1.120.152,134.013,314.688,39.690,118.821,146.469,43.264,10.717,171.832,28.112,44.047,68.497
,Mayo,1.088.443,114.507,310.682,42.637,122.565,146.714,41.045,9.223,158.426,29.519,49.683,63.443
,Junio,1.139.914,125.837,326.878,42.362,121.854,142.790,40.200,9.365,157.004,40.131,61.892,71.600
,Julio,1.159.144,136.107,319.489,43.513,120.087,144.859,38.681,10.101,160.252,48.795,60.935,76.325
,Agosto,1.088.738,125.990,302.567,41.158,118.589,134.218,39.065,9.845,155.289,32.754,50.808,78.455
,Septiembre,1.051.986,125.598,297.220,41.244,114.531,127.972,38.624,10.044,156.537,31.222,48.337,60.656
,Octubre,1.126.663,144.592,302.416,42.940,115.883,139.145,41.417,10.499,167.972,31.360,61.867,68.572
,Noviembre,1.075.782,144.217,289.474,37.893,107.701,123.438,41.406,9.596,162.410,27.296,58.860,73.490
,Diciembre,1.409.391,276.109,353.859,49.250,116.110,156.901,52.371,12.647,181.542,36.280,65.785,108.536
2022,Enero,1.092.430,151.678,278.573,37.698,110.152,123.786,49.677,9.954,168.497,26.972,58.774,76.671
,Febrero,1.033.427,146.845,267.587,36.718,103.564,122.144,42.828,9.171,152.735,27.818,40.680,83.337
,Marzo,1.100.028,137.883,293.310,44.560,116.347,131.213,46.431,10.027,171.905,29.990,46.699,71.662
,Abril,1.098.643,137.553,315.750,43.857,114.826,132.073,44.019,10.117,161.157,28.382,44.844,66.066
,Mayo,1.068.393,120.883,288.357,41.870,116.301,139.330,42.055,9.871,159.355,33.697,50.688,65.987
,Junio,1.117.276,127.189,315.934,43.664,118.393,138.321,40.647,10.211,159.921,38.885,55.791,68.320
,Julio,1.163.855,139.596,330.146,45.793,120.300,135.615,41.694,10.748,172.174,34.118,60.739,72.933
,Agosto,1.082.536,136.394,289.134,50.638,120.625,128.208,42.782,10.453,161.200,24.409,45.222,73.471
,Septiembre,1.038.737,140.011,288.913,41.670,115.844,123.115,40.416,10.059,155.353,20.572,46.587,56.196
,Octubre,1.114.132,151.855,290.641,44.267,120.232,132.856,42.128,10.487,163.021,23.333,71.209,64.104
,Noviembre,1.130.207,171.502,281.072,40.718,115.361,124.013,43.929,9.915,168.592,22.150,88.088,64.867
,Diciembre,1.393.184,307.344,331.340,53.323,118.980,148.997,51.514,12.840,178.547,27.784,66.319,96.195
2023,Enero,1.123.277,186.955,272.769,42.610,113.342,128.117,48.518,10.772,170.115,24.304,52.040,73.685
,Febrero,1.064.591,174.226,264.326,41.296,110.081,128.141,45.183,10.387,155.941,22.894,42.546,69.569
,Marzo,1.173.001,200.077,298.365,47.673,124.859,136.609,47.203,11.513,179.336,20.610,43.086,63.669
,Abril,1.151.930,166.309,311.918,49.925,121.642,137.312,43.742,11.136,179.659,24.367,44.815,61.105
,Mayo,1.083.745,148.096,293.410,46.210,119.228,132.262,41.436,10.297,168.717,24.696,42.155,57.238
,Junio,1.111.437,155.934,298.768,47.228,118.559,134.238,41.881,10.519,167.707,32.434,45.474,58.693
,Julio,1.200.981,169.841,315.444,50.746,125.370,144.807,45.325,11.608,178.046,38.021,55.807,65.965
,Agosto,1.229.910,188.835,323.565,52.301,133.175,146.220,47.707,12.722,187.094,27.443,44.063,66.783
,Septiembre,1.188.035,187.128,314.132,51.549,133.183,145.341,44.994,12.437,184.326,24.291,37.789,52.864
,Octubre,1.277.835,200.896,306.625,54.029,136.908,154.623,48.413,12.195,200.776,30.948,69.242,63.182
,Noviembre,1.231.418,190.012,296.845,52.261,132.008,152.005,49.341,11.335,202.184,26.986,53.965,64.475
,Diciembre,1.439.271,278.577,345.559,64.353,138.755,180.050,54.801,14.336,201.146,34.487,36.539,90.668
2024,Enero*,1.037.668,149.413,257.800,49.277,120.842,136.808,48.352,11.877,148.666,23.616,28.307,62.710
,Febrero*,996.835,138.738,257.990,49.451,112.866,128.811,44.476,10.877,142.451,21.801,27.100,62.273
,Marzo*,1.142.005,146.193,312.569,59.619,125.077,145.815,49.269,12.591,169.026,23.924,30.784,67.137
,Abril*,1.079.184,126.119,300.349,53.981,118.640,145.006,45.590,11.922,152.061,32.757,29.799,62.960
,Mayo*,1.117.688,119.021,322.842,54.524,122.315,148.043,45.423,11.715,156.211,40.685,35.982,60.926
,Junio*,1.176.335,135.645,323.708,57.036,124.800,158.588,46.828,12.335,161.526,42.104,40.809,72.956
,Julio*,1.186.092,132.363,334.946,57.608,128.949,154.232,47.255,12.156,157.733,42.191,45.653,73.005
,Agosto*,1.222.246,133.527,353.143,56.267,134.191,158.882,51.250,13.912,169.034,31.694,37.569,82.778
,Septiembre*,1.086.980,131.538,298.161,49.789,119.251,142.626,48.538,12.268,161.876,24.222,34.471,64.240
,Octubre*,1.162.272,142.482,309.288,51.621,126.578,151.814,52.738,12.778,172.398,29.364,42.810,70.401
,Noviembre*,1.209.836,163.458,293.343,51.816,125.224,154.555,55.247,12.581,178.266,31.618,42.424,101.304
,Diciembre*,1.468.100,251.096,367.553,63.614,130.072,184.950,63.549,14.064,186.321,42.191,42.658,122.032
2025,Enero*,1.176.670,157.639,287.093,49.464,119.283,151.130,60.339,11.889,171.278,32.947,40.804,94.804
,Febrero*,1.103.087,141.354,276.698,46.590,115.455,146.725,58.020,11.547,153.587,27.771,34.569,90.773
,Marzo*,1.257.380,149.874,324.244,55.049,132.170,168.194,61.133,12.687,185.516,33.372,42.049,93.091
,Abril*,1.207.961,132.883,331.145,57.420,127.982,163.951,58.971,12.287,168.421,37.681,32.899,84.321
,Mayo*,1.198.201,129.803,315.411,53.659,126.520,159.757,57.207,11.959,174.284,38.767,40.969,89.863
,Junio*,1.217.211,124.332,319.601,53.981,124.475,158.535,56.186,12.214,165.363,52.351,47.951,102.222
,Julio*,1.209.970,128.780,325.375,52.903,126.097,161.502,57.016,12.192,164.093,41.381,39.925,100.704
,Agosto*,1.235.405,131.054,332.283,55.795,129.310,165.488,58.124,12.011,169.109,35.006,36.964,110.261
,Septiembre*,1.131.151,125.001,300.349,47.393,127.606,149.679,55.304,10.592,160.228,28.568,34.805,91.627
,Octubre*,1.156.870,138.711,295.309,43.310,123.083,161.528,59.104,12.309,160.758,29.278,40.896,92.584
,Noviembre*,1.214.404,150.870,300.446,49.525,126.137,157.997,61.249,12.222,176.386,29.518,40.391,109.662
,Diciembre*,1.550.693,248.028,362.829,60.809,133.439,192.550,74.244,14.978,192.824,42.400,60.764,167.828
,Enero*,1.233.884,158.477,293.562,48.502,124.501,160.726,62.883,12.689,176.005,32.013,41.825,122.702
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
